最新价	涨跌幅	转债代码	转债名称	总市值	纯债价值	最新价/正股价格	涨跌幅	正股代码	正股名称	转股价值	转股溢价率	纯债溢价率	回售触发价	强赎触发价	到期赎回价	开始转股日	申购日期
115.175	-4.07	128113	比音转债	-	94.4293	17.28	2.73	002832	比音勒芬	115.9732	-0.69	21.97	10.43	19.37	112.0	20201221	20200615
144.369	-4.71	128112	歌尔转2	-	92.1077	36.47	3.14	002241	歌尔股份	156.7254	-7.88	56.74	16.29	30.25	110.0	20201218	20200612
181.173	-5.12	128111	中矿转债	-	100.5005	27.84	-3.8	002738	中矿资源	179.2659	1.06	80.27	10.87	20.11	118.0	20201217	20200611
85.284	-7.15	123054	思特转债	-	98.1059	11.38	-0.26	300608	思特奇	69.0115	23.58	-13.07	11.54	21.44	115.0	20201216	20200610
-	-	113585	寿仙转债	-	94.9434	-	-	603896	寿仙谷	118.0614	4.36	29.77	20.08	37.28	112.0	20201215	20200609
92.568	-8.09	123053	宝通转债	-	97.8082	16.03	-0.43	300031	宝通科技	77.0673	20.11	-5.36	14.56	27.04	115.0	20201211	20200605
99.966	-7.45	123052	飞鹿转债	-	102.7117	9.99	-0.4	300665	飞鹿股份	100.9091	-0.93	-2.67	6.93	12.87	120.0	20201211	20200605
-	-	113584	家悦转债	-	92.9253	-	-	603708	家家悦	114.5641	17.84	45.28	26.58	49.36	110.0	20201212	20200605
103.475	-6.56	128109	楚江转债	-	92.9352	8.03	-0.62	002171	楚江新材	91.9817	12.5	11.34	6.11	11.35	110.0	20201210	20200604
99.577	-7.46	123051	今天转债	-	99.0654	8.84	-0.67	300532	今天国际	100.4545	-0.87	0.52	6.16	11.44	116.0	20201210	20200604
109.114	-5.28	127017	万青转债	-	95.4282	13.38	-1.4	000789	万年青	94.4915	15.47	14.34	9.91	18.41	113.0	20201209	20200603
-	-	113583	益丰转债	-	92.9648	-	-	603939	益丰药房	113.4503	14.61	39.86	50.27	93.37	110.0	20201207	20200601
117.496	-9.13	128108	蓝帆转债	-	91.3986	22.86	-0.48	002382	蓝帆医疗	128.4992	-8.56	28.55	12.45	23.13	108.0	20201203	20200528
-	-	113582	火炬转债	-	93.0142	-	-	603678	火炬电子	125.5428	13.7	53.46	17.73	32.93	110.0	20201202	20200527
