最新价	涨跌幅	转债代码	转债名称	总市值	纯债价值	最新价/正股价格	涨跌幅	正股代码	正股名称	转股价值	转股溢价率	纯债溢价率	回售触发价	强赎触发价	到期赎回价	开始转股日	申购日期
194.88	0.97	128103	同德转债	-	100.8572	9.8	9.99	002360	同德化工	189.1892	3.01	93.22	3.63	6.73	115.0	20201009	20200326
97.64	-1.55	110068	龙净转债	-	95.1314	8.5	-1.51	600388	龙净环保	79.2171	23.26	2.64	7.51	13.95	110.0	20200930	20200324
103.4	0.49	123047	久吾转债	-	107.899	15.83	2.0	300631	久吾高科	89.8921	15.03	-4.17	12.33	22.89	121.0	20200928	20200320
150.411	1.77	123046	天铁转债	-	97.9238	14.57	2.25	300587	天铁股份	143.9723	4.47	53.6	7.08	13.16	112.0	20200925	20200319
104.9	0.1	128101	联创转债	-	95.3137	10.05	2.03	002036	联创电子	72.5108	44.67	10.06	9.7	18.02	110.0	20200921	20200316
74.546	-6.11	128100	搜特转债	-	97.2014	1.67	-9.73	002503	搜于特	57.5862	29.45	-23.31	2.03	3.77	112.0	20200918	20200312
101.5	1.39	123045	雷迪转债	-	99.0205	16.6	0.12	300652	雷迪克	82.464	23.08	2.5	14.09	26.17	113.0	20200918	20200312
117.02	1.49	123044	红相转债	-	104.1148	20.07	7.85	300427	红相股份	106.7553	9.62	12.4	13.16	24.44	118.0	20200918	20200312
108.4	-1.41	113572	三祥转债	-	93.8046	14.62	0.48	603663	三祥新材	103.0303	5.21	15.56	9.93	18.45	108.0	20200918	20200312
102.85	-0.01	110067	华安转债	-	91.4273	6.73	1.82	600909	华安证券	77.624	32.5	12.49	-	11.27	107.0	20200918	20200312
93.71	-1.13	113570	百达转债	-	95.5616	9.2	-4.47	603331	百达精工	79.7227	17.54	-1.94	8.08	15.0	110.0	20200917	20200311
86.77	0.0	113569	科达转债	-	100.0737	6.82	-1.02	603660	苏州科达	45.9569	88.81	-13.29	10.39	19.29	115.0	20200914	20200309
91.8	-0.56	113568	新春转债	-	103.5666	6.79	0.0	603667	五洲新春	76.2065	20.46	-11.36	6.24	11.58	118.0	20200914	20200306
116.5	3.74	123043	正元转债	-	100.7466	13.86	-1.21	300645	正元智慧	89.9416	29.53	15.64	10.79	20.03	115.0	20200911	20200305
97.8	0.05	113567	君禾转债	-	99.0234	9.64	0.52	603617	君禾股份	84.1187	16.26	-1.24	8.02	14.9	113.0	20200910	20200304
163.11	3.51	110066	盛屯转债	-	95.6542	7.99	2.83	600711	盛屯矿业	163.7295	-0.38	70.52	3.42	6.34	110.0	20200907	20200302
95.82	-6.78	113566	翔港转债	-	103.3758	7.43	2.34	603499	翔港科技	68.9879	38.89	-7.31	7.54	12.92	118.0	20200907	20200228
113.07	-0.62	113564	天目转债	-	105.189	23.31	-2.43	603136	天目湖	100.9091	12.05	7.49	16.17	30.03	120.0	20200907	20200228
103.88	-1.01	113565	宏辉转债	-	98.1428	9.5	-2.26	603336	宏辉果蔬	95.0	9.35	5.85	7.0	13.0	112.0	20200903	20200226
145.799	4.14	128097	奥佳转债	-	95.7056	15.45	8.73	002614	奥佳华	144.5276	0.88	52.34	7.48	13.9	110.0	20200902	20200225
119.4	2.31	128096	奥瑞转债	-	96.4951	5.02	6.58	002701	奥瑞金	110.5727	7.98	23.74	3.18	5.9	110.0	20200817	20200211
217.8	3.72	128095	恩捷转债	-	95.8497	137.7	1.69	002812	恩捷股份	211.5532	2.95	127.23	45.56	84.62	110.0	20200817	20200211
111.5	1.11	128094	星帅转债	-	100.8515	15.58	2.43	002860	星帅尔	111.6846	-0.17	10.56	9.77	18.14	115.0	20200722	20200116
103.59	-0.36	113563	柳药转债	-	94.0559	20.55	0.2	603368	柳药股份	83.9804	23.35	10.14	17.13	31.81	108.0	20200722	20200116
126.39	5.3	123042	银河转债	-	96.1966	18.19	1.62	300619	金银河	74.5492	69.54	31.39	17.08	31.72	110.0	20200720	20200114
98.88	-0.81	128093	百川转债	-	108.5823	5.3	-4.68	002455	百川股份	90.2896	9.51	-8.94	4.11	7.63	120.0	20200709	20200103
120.5	-3.6	127015	希望转债	-	91.6987	22.15	-2.72	000876	新 希 望	112.1519	7.44	31.41	13.83	25.68	106.0	20200709	20200103
96.42	-0.55	113561	正裕转债	-	98.5402	7.71	0.39	603089	正裕工业	75.3666	27.93	-2.15	7.16	13.3	112.0	20200707	20191231
112.1	-0.18	128091	新天转债	-	99.7465	15.29	1.46	002873	新天药业	93.2886	20.16	12.38	11.47	21.31	113.0	20200706	20191230
104.17	0.94	128090	汽模转2	-	95.9198	4.09	2.25	002510	天汽模	97.1496	7.23	8.6	2.95	5.47	110.0	20200703	20191227
99.4	0.25	123039	开润转债	-	101.0772	22.76	5.61	300577	开润股份	69.2425	43.55	-1.66	23.01	42.73	115.0	20200702	20191226
109.12	0.22	123038	联得转债	-	99.067	23.41	0.34	300545	联得装备	92.5662	17.88	10.15	17.7	32.88	113.0	20200701	20191225
101.11	0.28	113030	东风转债	-	97.6141	5.84	2.64	601515	东风股份	86.5185	16.87	3.58	4.73	8.78	112.0	20200630	20191224
104.7	0.1	113559	永创转债	-	98.8981	9.13	-0.22	603901	永创智能	88.469	18.35	5.87	7.22	13.42	112.0	20200629	20191223
115.49	-2.31	110065	淮矿转债	-	92.5349	10.41	-2.16	600985	淮北矿业	111.5756	3.51	24.81	6.53	12.13	106.0	20200629	20191223
94.5	-0.04	110064	建工转债	-	100.1514	3.37	-0.88	600939	重庆建工	73.7418	28.15	-5.64	3.2	5.94	113.0	20200629	20191220
92.04	0.0	113557	森特转债	-	100.5307	8.3	0.0	603098	森特股份	82.0969	12.11	-8.45	7.08	13.14	115.0	20200629	20191219
84.22	0.36	128087	孚日转债	-	94.356	4.08	0.49	002083	孚日股份	64.7619	30.05	-10.74	4.41	8.19	108.0	20200623	20191217
82.399	1.83	128085	鸿达转债	-	104.0031	3.32	4.4	002002	鸿达兴业	84.6939	-2.71	-20.77	2.74	5.1	118.0	20200622	20191216
165.59	3.76	113029	明阳转债	-	94.366	21.38	4.29	601615	明阳智能	167.0313	-0.86	75.48	8.96	16.64	108.0	20200622	20191216
102.53	-0.41	110063	鹰19转债	-	96.8766	3.03	-1.3	600567	山鹰国际	91.8182	11.67	5.84	2.31	4.29	111.0	20200619	20191213
103.99	-0.17	128083	新北转债	-	96.0719	9.96	0.81	002376	新北洋	85.1282	22.16	8.24	8.19	15.21	110.0	20200618	20191212
90.81	-0.32	128082	华锋转债	-	101.6884	8.65	-1.37	002806	华锋股份	73.8685	22.93	-10.7	8.2	15.22	115.0	20200610	20191204
100.89	-0.29	110062	烽火转债	-	92.7403	19.2	-0.16	600498	烽火通信	74.8538	34.78	8.79	17.96	33.35	106.0	20200608	20191202
95.17	-1.29	128081	海亮转债	-	96.2851	8.06	0.0	002203	海亮股份	82.582	15.24	-1.16	6.83	12.69	110.0	20200527	20191121
120.21	-4.45	113550	常汽转债	-	101.7549	11.52	-4.16	603035	常熟汽饰	119.3782	0.7	18.14	6.76	12.55	115.0	20200522	20191118
93.53	-1.54	113549	白电转债	-	96.2483	7.42	2.34	603861	白云电器	83.5586	11.93	-2.82	6.22	11.54	110.0	20200521	20191115
107.0	-1.78	123035	利德转债	-	96.5512	5.97	-2.13	300296	利亚德	85.5301	25.1	10.82	4.89	9.07	110.0	20200520	20191114
123.68	-0.26	110061	川投转债	-	92.9458	10.88	-2.77	600674	川投能源	113.5699	8.9	33.07	6.71	12.45	106.0	20200515	20191111
180.6	3.32	123034	通光转债	-	99.0641	8.65	-1.82	300265	通光线缆	108.532	66.4	82.31	5.58	10.36	113.0	20200508	20191104
114.281	-0.28	123033	金力转债	-	102.196	37.22	2.93	300748	金力永磁	91.4946	24.9	11.83	28.48	52.88	114.0	20200507	20191101
131.33	0.74	113548	石英转债	-	104.5748	19.06	1.6	603688	石英股份	126.2252	4.04	25.58	10.57	19.63	118.0	20200506	20191028
100.39	-1.38	110060	天路转债	-	96.5284	6.52	1.4	600326	西藏天路	91.0615	10.24	4.0	5.01	9.31	110.0	20200506	20191028
101.62	-0.08	110059	浦发转债	-	98.9607	10.22	-2.11	600000	浦发银行	70.7266	43.68	2.69	-	18.79	110.0	20200504	20191028
97.88	-0.43	127014	北方转债	-	96.7645	6.8	-1.02	000065	北方国际	77.7143	25.95	1.15	6.13	11.38	110.0	20200430	20191024
